unique_id,ds,y
Adelaide,1998-01-01,658.5538948
Adelaide,1998-04-01,449.85393450000004
Adelaide,1998-07-01,592.9045969
Adelaide,1998-10-01,524.2427599
Adelaide,1999-01-01,548.3941052
Adelaide,1999-04-01,568.6978012
Adelaide,1999-07-01,538.0525987999999
Adelaide,1999-10-01,562.4276777
Adelaide,2000-01-01,646.3567745
Adelaide,2000-04-01,562.7560791
Adelaide,2000-07-01,556.3001609
Adelaide,2000-10-01,652.2033059
Adelaide,2001-01-01,569.5561519
Adelaide,2001-04-01,532.1416062999999
Adelaide,2001-07-01,567.2775318
Adelaide,2001-10-01,595.221138
Adelaide,2002-01-01,646.6808205
Adelaide,2002-04-01,551.7566511
Adelaide,2002-07-01,572.2064025
Adelaide,2002-10-01,504.3690436
Adelaide,2003-01-01,556.3792702
Adelaide,2003-04-01,524.2565289
Adelaide,2003-07-01,601.1227827
Adelaide,2003-10-01,521.7295038
Adelaide,2004-01-01,633.305173
Adelaide,2004-04-01,635.4880399
Adelaide,2004-07-01,598.1142316
Adelaide,2004-10-01,570.5297387
Adelaide,2005-01-01,581.2291926
Adelaide,2005-04-01,418.8579604
Adelaide,2005-07-01,524.8863045
Adelaide,2005-10-01,509.21714470000006
Adelaide,2006-01-01,587.837469
Adelaide,2006-04-01,589.2891380000001
Adelaide,2006-07-01,513.835664
Adelaide,2006-10-01,533.56228
Adelaide,2007-01-01,607.4528443
Adelaide,2007-04-01,620.0026834
Adelaide,2007-07-01,524.612885
Adelaide,2007-10-01,565.0828937
Adelaide,2008-01-01,596.4388915
Adelaide,2008-04-01,523.9460768
Adelaide,2008-07-01,507.1800715
Adelaide,2008-10-01,575.6698610999999
Adelaide,2009-01-01,507.8076171
Adelaide,2009-04-01,522.6746408
Adelaide,2009-07-01,542.7338261
Adelaide,2009-10-01,600.0777385
Adelaide,2010-01-01,479.8736296
Adelaide,2010-04-01,562.7634868
Adelaide,2010-07-01,418.2474798
Adelaide,2010-10-01,544.6955232
Adelaide,2011-01-01,563.547186
Adelaide,2011-04-01,565.2377408
Adelaide,2011-07-01,457.3976733
Adelaide,2011-10-01,578.9089982
Adelaide,2012-01-01,532.2184413
Adelaide,2012-04-01,533.6567912
Adelaide,2012-07-01,539.9708638
Adelaide,2012-10-01,610.7949433
Adelaide,2013-01-01,503.18611410000005
Adelaide,2013-04-01,494.4902141
Adelaide,2013-07-01,587.5583876999999
Adelaide,2013-10-01,542.7482404
Adelaide,2014-01-01,628.4640436
Adelaide,2014-04-01,653.057222
Adelaide,2014-07-01,529.9463249
Adelaide,2014-10-01,659.7676908999999
Adelaide,2015-01-01,650.2481394
Adelaide,2015-04-01,601.5861802
Adelaide,2015-07-01,582.3635651
Adelaide,2015-10-01,679.8454664
Adelaide,2016-01-01,695.2454533
Adelaide,2016-04-01,664.605274
Adelaide,2016-07-01,635.5691056000001
Adelaide,2016-10-01,634.37132
Adelaide,2017-01-01,708.331889
Adelaide,2017-04-01,676.4530638
Adelaide,2017-07-01,674.1420591
Adelaide,2017-10-01,723.7110633
Ballarat,1998-01-01,182.2393415
Ballarat,1998-04-01,137.56653870000002
Ballarat,1998-07-01,117.6427614
Ballarat,1998-10-01,136.07272360000002
